Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
March 31 2018,Walla Walla,WA,Passenger,32,36,68,36255,36323,0.19
July 31 2018,NULL,CA,Passenger,1,1,2,304,306,0.65
June 30 2018,Pierce,WA,Passenger,1438,1266,2704,542965,545669,0.50
June 30 2018,Manatee,FL,Passenger,1,0,1,33,34,2.94
July 31 2018,NULL,WA,Truck,0,0,0,3,3,0.00
December 31 2017,Ada,ID,Passenger,0,1,1,337,338,0.30
June 30 2018,Marion,IN,Passenger,1,0,1,119,120,0.83
December 31 2017,Alameda,CA,Passenger,0,1,1,348,349,0.29
June 30 2018,Maui,HI,Passenger,1,0,1,57,58,1.72
March 31 2018,Whitman,WA,Passenger,20,26,46,23025,23071,0.20
June 30 2018,Ramsey,MN,Passenger,1,0,1,37,38,2.63
July 31 2018,Arlington,VA,Passenger,1,2,3,170,173,1.73
December 31 2017,Gwinnett,GA,Passenger,0,1,1,85,86,1.16
June 30 2018,Riverside,CA,Passenger,0,2,2,693,695,0.29
December 31 2017,Arlington,VA,Passenger,1,2,3,167,170,1.76
June 30 2018,Muscogee,GA,Passenger,0,1,1,198,199,0.50
July 31 2018,Benton,WA,Truck,0,0,0,42386,42386,0.00
April 30 2018,Beaufort,SC,Passenger,1,0,1,36,37,2.70
June 30 2018,Okanogan,WA,Truck,0,0,0,4326,4326,0.00
June 30 2018,Saint Lucie,FL,Passenger,1,0,1,24,25,4.00
May 31 2018,Clackamas,OR,Passenger,0,1,1,215,216,0.46
June 30 2018,Orange,FL,Passenger,2,1,3,171,174,1.72
May 31 2018,Clark,WA,Passenger,1060,735,1795,313122,314917,0.57
April 30 2018,Adams,WA,Passenger,5,4,9,12941,12950,0.07
June 30 2018,Pierce,WA,Truck,0,0,0,142158,142158,0.00
June 30 2018,Skagit,WA,Truck,1,0,1,33046,33047,0.00
July 31 2018,Carson City,NV,Passenger,1,0,1,11,12,8.33
May 31 2018,Dakota,MN,Passenger,0,1,1,33,34,2.94
July 31 2018,Charles,MD,Passenger,0,1,1,83,84,1.19
April 30 2018,Charles,MD,Passenger,0,1,1,83,84,1.19
June 30 2018,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
April 30 2018,Benton,WA,Passenger,192,198,390,133779,134169,0.29
July 31 2018,Clallam,WA,Truck,0,0,0,22045,22045,0.00
June 30 2018,Volusia,FL,Passenger,0,1,1,30,31,3.23
May 31 2018,Douglas,WA,Passenger,45,31,76,28144,28220,0.27
June 30 2018,Saint Marys,MD,Passenger,1,0,1,207,208,0.48
December 31 2017,Jefferson,WA,Truck,0,0,0,9776,9776,0.00
June 30 2018,San Diego,CA,Passenger,6,3,9,2648,2657,0.34
July 31 2018,Cowlitz,WA,Passenger,69,87,156,73291,73447,0.21
April 30 2018,Chelan,WA,Passenger,100,45,145,54750,54895,0.26
June 30 2018,San Juan,WA,Truck,0,0,0,5918,5918,0.00
December 31 2017,Clark,NV,Passenger,1,1,2,719,721,0.28
May 31 2018,Flathead,MT,Passenger,1,0,1,51,52,1.92
April 30 2018,Canyon,ID,Passenger,0,1,1,78,79,1.27
December 31 2017,Juneau,AK,Passenger,0,1,1,40,41,2.44
July 31 2018,Dallas,TX,Passenger,0,1,1,177,178,0.56
June 30 2018,Santa Clara,CA,Passenger,7,0,7,367,374,1.87
June 30 2018,Washoe,NV,Passenger,1,0,1,104,105,0.95
May 31 2018,Garfield,WA,Truck,0,0,0,988,988,0.00
June 30 2018,Saratoga,NY,Passenger,0,1,1,61,62,1.61
April 30 2018,Clallam,WA,Passenger,126,111,237,50564,50801,0.47
April 30 2018,Clark,WA,Passenger,1040,695,1735,312566,314301,0.55
June 30 2018,Shelby,TN,Passenger,0,1,1,111,112,0.89
April 30 2018,Clark,WA,Truck,0,0,0,81170,81170,0.00
December 31 2017,Columbia,GA,Passenger,1,1,2,165,167,1.20
June 30 2018,Skagit,WA,Passenger,243,182,425,92447,92872,0.46
April 30 2018,Columbia,WA,Truck,0,0,0,1591,1591,0.00
June 30 2018,Whitman,WA,Passenger,20,30,50,23101,23151,0.22
June 30 2018,Snohomish,WA,Passenger,2503,1355,3858,530872,534730,0.72
December 31 2017,Knox,TN,Passenger,1,0,1,37,38,2.63
April 30 2018,Clay,FL,Passenger,0,1,1,97,98,1.02
April 30 2018,Dakota,MN,Passenger,0,1,1,33,34,2.94
May 31 2018,Island,WA,Passenger,203,186,389,63679,64068,0.61
July 31 2018,Fairfax City,VA,Passenger,1,0,1,9,10,10.00
December 31 2017,Cowlitz,WA,Truck,0,0,0,29110,29110,0.00
December 31 2017,Lane,OR,Passenger,0,1,1,208,209,0.48
May 31 2018,Jefferson,WA,Passenger,150,97,247,24854,25101,0.98
July 31 2018,Anne Arundel,MD,Passenger,0,2,2,461,463,0.43
July 31 2018,Glacier,MT,Passenger,0,1,1,4,5,20.00
June 30 2018,Tulsa,OK,Passenger,0,1,1,43,44,2.27
July 31 2018,Asotin,WA,Passenger,11,8,19,12919,12938,0.15
December 31 2017,Dale,AL,Passenger,0,1,1,71,72,1.39
July 31 2018,Asotin,WA,Truck,0,0,0,6865,6865,0.00
July 31 2018,Grays Harbor,WA,Passenger,64,68,132,47730,47862,0.28
April 30 2018,Duval,FL,Passenger,1,1,2,377,379,0.53
May 31 2018,Kitsap,WA,Passenger,855,473,1328,181271,182599,0.73
May 31 2018,Kitsap,WA,Truck,1,0,1,54612,54613,0.00
December 31 2017,Dallas,TX,Passenger,0,1,1,175,176,0.57
December 31 2017,Dekalb,IN,Passenger,1,0,1,1,2,50.00
June 30 2018,Virginia Beach City,VA,Passenger,1,1,2,669,671,0.30
April 30 2018,Ferry,WA,Truck,0,0,0,3723,3723,0.00
April 30 2018,Flathead,MT,Passenger,1,0,1,52,53,1.89
July 31 2018,Hardin,KY,Passenger,0,1,1,122,123,0.81
April 30 2018,Douglas,WA,Passenger,42,32,74,28054,28128,0.26
April 30 2018,Franklin,WA,Passenger,46,62,108,58771,58879,0.18
April 30 2018,Douglas,WA,Truck,0,0,0,12259,12259,0.00
July 31 2018,Hennepin,MN,Passenger,1,0,1,104,105,0.95
December 31 2017,El Paso,TX,Passenger,1,0,1,544,545,0.18
July 31 2018,Caddo,LA,Passenger,0,1,1,20,21,4.76
May 31 2018,Lincoln,WA,Passenger,4,7,11,7884,7895,0.14
May 31 2018,Lincoln,WA,Truck,0,0,0,4711,4711,0.00
April 30 2018,Fairfax,VA,Passenger,0,3,3,825,828,0.36
December 31 2017,Lumpkin,GA,Passenger,1,0,1,10,11,9.09
July 31 2018,Ada,ID,Passenger,0,2,2,305,307,0.65
July 31 2018,Alameda,CA,Passenger,0,1,1,333,334,0.30
December 31 2017,Maricopa,AZ,Passenger,2,0,2,1496,1498,0.13
July 31 2018,Cook,IL,Passenger,1,0,1,246,247,0.40
May 31 2018,Marion,OR,Passenger,1,0,1,113,114,0.88
July 31 2018,Kittitas,WA,Truck,0,0,0,14571,14571,0.00
April 30 2018,Jefferson,CO,Passenger,0,1,1,72,73,1.37
July 31 2018,Klickitat,WA,Truck,0,0,0,8408,8408,0.00
July 31 2018,Bexar,TX,Passenger,2,4,6,720,726,0.83
July 31 2018,Larimer,CO,Passenger,0,1,1,48,49,2.04
July 31 2018,Broward,FL,Passenger,0,1,1,127,128,0.78
April 30 2018,Kent,MI,Passenger,0,1,1,31,32,3.12
December 31 2017,Grant,WA,Truck,0,0,0,26702,26702,0.00
April 30 2018,King,WA,Truck,8,1,9,188749,188758,0.00
April 30 2018,Hamilton,IN,Passenger,1,0,1,42,43,2.33
December 31 2017,Grays Harbor,WA,Passenger,50,47,97,46961,47058,0.21
December 31 2017,Grays Harbor,WA,Truck,0,0,0,20742,20742,0.00
May 31 2018,Nassau,NY,Passenger,1,0,1,32,33,3.03
July 31 2018,Ferry,WA,Passenger,3,3,6,4604,4610,0.13
April 30 2018,Island,WA,Passenger,200,186,386,63564,63950,0.60
December 31 2017,Hamilton,TN,Passenger,1,0,1,19,20,5.00
December 31 2017,Montgomery,MD,Passenger,1,3,4,302,306,1.31
April 30 2018,Island,WA,Truck,0,0,0,21458,21458,0.00
December 31 2017,Hardin,KY,Passenger,0,1,1,124,125,0.80
July 31 2018,Franklin,WA,Truck,0,0,0,19426,19426,0.00
April 30 2018,Manatee,FL,Passenger,1,0,1,34,35,2.86
July 31 2018,Cowlitz,WA,Truck,0,0,0,29398,29398,0.00
July 31 2018,Gallatin,MT,Passenger,0,1,1,57,58,1.72
April 30 2018,Jefferson,NY,Passenger,1,0,1,245,246,0.41
May 31 2018,Riley,KS,Passenger,1,0,1,88,89,1.12
April 30 2018,Marion,OR,Passenger,1,0,1,117,118,0.85
July 31 2018,Oklahoma,OK,Passenger,0,1,1,117,118,0.85
May 31 2018,Russell,AL,Passenger,1,0,1,51,52,1.92
July 31 2018,District Of Columbia,DC,Passenger,0,4,4,204,208,1.92
July 31 2018,Duval,FL,Passenger,1,1,2,380,382,0.52
July 31 2018,Ozaukee,WI,Passenger,0,1,1,3,4,25.00
July 31 2018,El Paso,TX,Passenger,1,0,1,525,526,0.19
July 31 2018,Pend Oreille,WA,Passenger,6,5,11,9934,9945,0.11
April 30 2018,Kittitas,WA,Passenger,44,32,76,29519,29595,0.26
April 30 2018,Klickitat,WA,Passenger,28,31,59,15448,15507,0.38
December 31 2017,Pacific,WA,Passenger,23,14,37,15719,15756,0.23
April 30 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
July 31 2018,Ferry,WA,Truck,0,0,0,3744,3744,0.00
May 31 2018,Snohomish,WA,Truck,1,0,1,125500,125501,0.00
July 31 2018,Flathead,MT,Passenger,1,0,1,48,49,2.04
April 30 2018,Montgomery,PA,Passenger,1,0,1,27,28,3.57
July 31 2018,Franklin,WA,Passenger,47,68,115,59461,59576,0.19
May 31 2018,Stevens,WA,Truck,0,0,0,19435,19435,0.00
April 30 2018,Lincoln,WA,Truck,0,0,0,4716,4716,0.00
July 31 2018,Fulton,GA,Passenger,1,2,3,94,97,3.09
July 31 2018,Garfield,WA,Passenger,1,1,2,1355,1357,0.15
April 30 2018,Multnomah,OR,Passenger,4,4,8,814,822,0.97
December 31 2017,Prince George,VA,Passenger,0,1,1,77,78,1.28
July 31 2018,Grant,WA,Truck,0,0,0,26983,26983,0.00
July 31 2018,Lane,OR,Passenger,0,1,1,183,184,0.54
July 31 2018,Grays Harbor,WA,Truck,0,0,0,20862,20862,0.00
December 31 2017,Larimer,CO,Passenger,0,1,1,60,61,1.64
May 31 2018,Walla Walla,WA,Passenger,35,42,77,36342,36419,0.21
December 31 2017,Liberty,GA,Passenger,1,0,1,154,155,0.65
May 31 2018,Washington,OR,Passenger,0,1,1,452,453,0.22
April 30 2018,Orleans,LA,Passenger,0,1,1,51,52,1.92
May 31 2018,Whitman,WA,Truck,0,0,0,8749,8749,0.00
July 31 2018,Madison,ID,Passenger,1,0,1,38,39,2.56
July 31 2018,Sumter,FL,Passenger,0,1,1,9,10,10.00
July 31 2018,Maricopa,AZ,Passenger,2,1,3,1414,1417,0.21
April 30 2018,Nassau,NY,Passenger,1,0,1,33,34,2.94
July 31 2018,Travis,TX,Passenger,0,1,1,177,178,0.56
June 30 2018,NULL,WA,Passenger,0,0,0,1,1,0.00
April 30 2018,Northampton,PA,Passenger,0,1,1,67,68,1.47
July 31 2018,Kent,MI,Passenger,0,1,1,26,27,3.70
July 31 2018,Ventura,CA,Passenger,0,2,2,315,317,0.63
April 30 2018,Pierce,WA,Truck,0,0,0,141799,141799,0.00
June 30 2018,Alexandria City,VA,Passenger,2,0,2,169,171,1.17
July 31 2018,King,WA,Truck,8,1,9,188050,188059,0.00
July 31 2018,Wahkiakum,WA,Passenger,2,1,3,2989,2992,0.10
December 31 2017,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
July 31 2018,Monterey,CA,Passenger,0,2,2,202,204,0.98
April 30 2018,Pacific,WA,Truck,0,0,0,7815,7815,0.00
July 31 2018,Lewis,WA,Truck,0,0,0,26446,26446,0.00
June 30 2018,Benton,WA,Passenger,206,210,416,134110,134526,0.31
July 31 2018,Moore,NC,Passenger,0,1,1,198,199,0.50
December 31 2017,Saratoga,NY,Passenger,0,1,1,66,67,1.49
April 30 2018,Pend Oreille,WA,Truck,0,0,0,5958,5958,0.00
April 30 2018,Prince William,VA,Passenger,0,4,4,261,265,1.51
June 30 2018,Brevard,FL,Passenger,0,1,1,86,87,1.15
July 31 2018,New Castle,DE,Passenger,1,0,1,25,26,3.85
April 30 2018,Pima,AZ,Passenger,0,1,1,395,396,0.25
July 31 2018,Yakima,WA,Truck,0,0,0,60961,60961,0.00
April 30 2018,Polk,FL,Passenger,1,0,1,64,65,1.54
December 31 2017,Skagit,WA,Passenger,196,154,350,91620,91970,0.38
April 30 2018,Riverside,CA,Passenger,0,2,2,701,703,0.28
August 31 2018,Alexandria City,VA,Passenger,2,0,2,164,166,1.20
July 31 2018,Nueces,TX,Passenger,1,1,2,98,100,2.00
June 30 2018,Clackamas,OR,Passenger,0,1,1,214,215,0.47
April 30 2018,Saint Clair,IL,Passenger,0,1,1,158,159,0.63
July 31 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
June 30 2018,Clallam,WA,Passenger,133,118,251,50825,51076,0.49
July 31 2018,Montgomery,PA,Passenger,2,0,2,25,27,7.41
April 30 2018,Russell,AL,Passenger,1,0,1,50,51,1.96
December 31 2017,New Castle,DE,Passenger,1,0,1,26,27,3.70
December 31 2017,Okaloosa,FL,Passenger,1,0,1,182,183,0.55
April 30 2018,San Francisco,CA,Passenger,0,1,1,132,133,0.75
April 30 2018,Santa Clara,CA,Passenger,6,1,7,372,379,1.85
December 31 2017,Twin Falls,ID,Passenger,0,1,1,24,25,4.00
December 31 2017,Oklahoma,OK,Passenger,0,1,1,122,123,0.81
June 30 2018,Dakota,MN,Passenger,0,1,1,34,35,2.86
August 31 2018,Brevard,FL,Passenger,0,1,1,83,84,1.19
April 30 2018,Skamania,WA,Passenger,14,8,22,8967,8989,0.24
April 30 2018,Skamania,WA,Truck,0,0,0,4112,4112,0.00
December 31 2017,Orange,FL,Passenger,1,1,2,140,142,1.41
April 30 2018,Spokane,WA,Passenger,358,319,677,308861,309538,0.22
December 31 2017,Utah,UT,Passenger,0,1,1,131,132,0.76
December 31 2017,Ozaukee,WI,Passenger,0,1,1,3,4,25.00
December 31 2017,Virginia Beach City,VA,Passenger,1,1,2,662,664,0.30
August 31 2018,Chelan,WA,Truck,0,0,0,22645,22645,0.00
June 30 2018,Duval,FL,Passenger,1,1,2,377,379,0.53
July 31 2018,San Juan,WA,Passenger,153,64,217,14450,14667,1.48
July 31 2018,Prince William,VA,Passenger,0,4,4,259,263,1.52
April 30 2018,Tarrant,TX,Passenger,1,0,1,208,209,0.48
July 31 2018,San Mateo,CA,Passenger,1,1,2,135,137,1.46
August 31 2018,Columbia,WA,Passenger,2,2,4,2473,2477,0.16
July 31 2018,Santa Fe,NM,Passenger,0,1,1,42,43,2.33
July 31 2018,Saint Clair,IL,Passenger,0,1,1,157,158,0.63
June 30 2018,Ferry,WA,Truck,0,0,0,3725,3725,0.00
April 30 2018,Wahkiakum,WA,Truck,0,0,0,1726,1726,0.00
April 30 2018,Walla Walla,WA,Passenger,35,40,75,36246,36321,0.21
December 31 2017,Whitman,WA,Passenger,18,24,42,22998,23040,0.18
April 30 2018,Walla Walla,WA,Truck,0,0,0,13833,13833,0.00
July 31 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
August 31 2018,Douglas,NE,Passenger,0,1,1,69,70,1.43
August 31 2018,Douglas,OR,Passenger,1,0,1,49,50,2.00
April 30 2018,Volusia,FL,Passenger,0,1,1,30,31,3.23
April 30 2018,Washtenaw,MI,Passenger,1,0,1,37,38,2.63
April 30 2018,Whatcom,WA,Passenger,645,285,930,149402,150332,0.62
December 31 2017,Saint Lucie,FL,Passenger,1,0,1,24,25,4.00
April 30 2018,Whatcom,WA,Truck,2,0,2,43362,43364,0.00
April 30 2018,Whitman,WA,Truck,0,0,0,8741,8741,0.00
January 31 2018,Alameda,CA,Passenger,0,1,1,355,356,0.28
July 31 2018,Snohomish,WA,Passenger,2558,1391,3949,531789,535738,0.74
July 31 2018,Spokane,WA,Truck,1,0,1,96143,96144,0.00
July 31 2018,Utah,UT,Passenger,0,1,1,129,130,0.77
December 31 2017,San Juan,WA,Truck,0,0,0,5851,5851,0.00
July 31 2018,Stevens,WA,Passenger,13,27,40,32636,32676,0.12
January 31 2018,Anne Arundel,MD,Passenger,0,2,2,486,488,0.41
June 30 2018,Jefferson,CO,Passenger,0,1,1,65,66,1.52
May 31 2018,NULL,NULL,Passenger,8,2,10,2269,2279,0.44
January 31 2018,Asotin,WA,Passenger,8,5,13,12857,12870,0.10
December 31 2017,Sangamon,IL,Passenger,1,0,1,10,11,9.09
May 31 2018,Adams,WA,Passenger,5,5,10,12989,12999,0.08
May 31 2018,Adams,WA,Truck,0,0,0,5391,5391,0.00
July 31 2018,Thurston,WA,Passenger,661,530,1191,197085,198276,0.60
May 31 2018,Arlington,VA,Passenger,1,2,3,168,171,1.75
July 31 2018,Yakima,WA,Passenger,77,101,178,168418,168596,0.11
December 31 2017,Shelby,TN,Passenger,0,1,1,112,113,0.88
June 30 2018,Kitsap,WA,Passenger,872,480,1352,181816,183168,0.74
July 31 2018,Tuolumne,CA,Passenger,0,1,1,11,12,8.33
August 31 2018,NULL,WA,Truck,0,0,0,4,4,0.00
May 31 2018,Asotin,WA,Truck,0,0,0,6879,6879,0.00
December 31 2017,Spokane,WA,Truck,1,0,1,95087,95088,0.00
August 31 2018,Beaufort,SC,Passenger,1,0,1,35,36,2.78
June 30 2018,Lumpkin,GA,Passenger,1,0,1,9,10,10.00
August 31 2018,King,WA,Passenger,14238,6212,20450,1393697,1414147,1.45
May 31 2018,Bexar,TX,Passenger,2,3,5,750,755,0.66
August 31 2018,Benton,WA,Truck,0,0,0,42501,42501,0.00
August 31 2018,NULL,WA,Passenger,0,0,0,1,1,0.00
August 31 2018,Adams,WA,Truck,0,0,0,5401,5401,0.00
June 30 2018,Mason,WA,Truck,0,0,0,20673,20673,0.00
December 31 2017,Thurston,WA,Passenger,544,425,969,193972,194941,0.50
August 31 2018,Lane,OR,Passenger,0,1,1,179,180,0.56
May 31 2018,Broward,FL,Passenger,0,1,1,128,129,0.78
January 31 2018,Canyon,ID,Passenger,0,1,1,86,87,1.15
May 31 2018,Clark,NV,Passenger,1,1,2,710,712,0.28
August 31 2018,Benton,WA,Passenger,204,208,412,134737,135149,0.30
June 30 2018,Monroe,IL,Passenger,1,0,1,4,5,20.00
August 31 2018,Lewis,WA,Passenger,89,70,159,59153,59312,0.27
May 31 2018,Caddo,LA,Passenger,0,1,1,20,21,4.76
May 31 2018,Columbia,GA,Passenger,1,1,2,168,170,1.18
August 31 2018,Charles,MD,Passenger,0,1,1,82,83,1.20
August 31 2018,Bexar,TX,Passenger,3,4,7,718,725,0.97
August 31 2018,Lumpkin,GA,Passenger,1,0,1,9,10,10.00
August 31 2018,Clallam,WA,Truck,0,0,0,22038,22038,0.00
June 30 2018,Norfolk City,VA,Passenger,3,2,5,347,352,1.42
August 31 2018,Clark,WA,Passenger,1170,800,1970,314856,316826,0.62
May 31 2018,Dale,AL,Passenger,0,1,1,66,67,1.49
June 30 2018,Nueces,TX,Passenger,1,1,2,98,100,2.00
May 31 2018,Dallas,TX,Passenger,0,1,1,176,177,0.56
August 31 2018,Maricopa,AZ,Passenger,2,1,3,1397,1400,0.21
June 30 2018,Orange,CA,Passenger,3,1,4,574,578,0.69
May 31 2018,Dekalb,IN,Passenger,1,0,1,1,2,50.00
August 31 2018,Mason,WA,Truck,0,0,0,20761,20761,0.00
June 30 2018,Orleans,LA,Passenger,0,1,1,50,51,1.96
May 31 2018,Chelan,WA,Passenger,105,50,155,54829,54984,0.28
May 31 2018,Deschutes,OR,Passenger,1,0,1,155,156,0.64
August 31 2018,Chelan,WA,Passenger,115,57,172,54977,55149,0.31
August 31 2018,Clallam,WA,Passenger,135,121,256,51002,51258,0.50
May 31 2018,Clay,FL,Passenger,0,1,1,94,95,1.05
August 31 2018,Clay,FL,Passenger,0,1,1,91,92,1.09
August 31 2018,Douglas,WA,Passenger,46,30,76,28382,28458,0.27
May 31 2018,El Paso,CO,Passenger,2,1,3,753,756,0.40
August 31 2018,Fairfax City,VA,Passenger,1,0,1,9,10,10.00
June 30 2018,Prince George,VA,Passenger,0,1,1,75,76,1.32
January 31 2018,Alexandria City,VA,Passenger,2,0,2,170,172,1.16
August 31 2018,Muscogee,GA,Passenger,0,1,1,200,201,0.50
January 31 2018,Douglas,WA,Passenger,44,33,77,27891,27968,0.28
May 31 2018,Frederick,MD,Passenger,0,1,1,92,93,1.08
May 31 2018,Cook,IL,Passenger,1,0,1,258,259,0.39
August 31 2018,Norfolk City,VA,Passenger,3,2,5,354,359,1.39
May 31 2018,Garfield,OK,Passenger,1,0,1,19,20,5.00
August 31 2018,Glacier,MT,Passenger,0,1,1,4,5,20.00
August 31 2018,Dakota,MN,Passenger,0,1,1,32,33,3.03
August 31 2018,Orange,CA,Passenger,3,1,4,572,576,0.69
January 31 2018,Fairfax,VA,Passenger,0,3,3,816,819,0.37
January 31 2018,Benton,WA,Passenger,186,188,374,133603,133977,0.28
May 31 2018,Dekalb,GA,Passenger,1,0,1,77,78,1.28
August 31 2018,Douglas,WA,Truck,0,0,0,12383,12383,0.00
August 31 2018,Pacific,WA,Passenger,30,23,53,15961,16014,0.33
June 30 2018,Santa Rosa,FL,Passenger,1,0,1,91,92,1.09
January 31 2018,Ferry,WA,Passenger,2,3,5,4585,4590,0.11
August 31 2018,Island,WA,Passenger,230,212,442,63890,64332,0.69
August 31 2018,Pierce,WA,Passenger,1516,1316,2832,545150,547982,0.52
May 31 2018,Honolulu,HI,Passenger,3,1,4,519,523,0.76
January 31 2018,Brevard,FL,Passenger,0,1,1,92,93,1.08
May 31 2018,Douglas,WA,Truck,0,0,0,12274,12274,0.00
August 31 2018,Fulton,GA,Passenger,1,2,3,93,96,3.12
January 31 2018,Franklin,WA,Passenger,41,54,95,58457,58552,0.16
August 31 2018,Prince George,VA,Passenger,0,1,1,78,79,1.27
August 31 2018,Kittitas,WA,Passenger,54,33,87,29805,29892,0.29
August 31 2018,Hamilton,IN,Passenger,1,0,1,41,42,2.38
May 31 2018,Franklin,WA,Truck,0,0,0,19338,19338,0.00
January 31 2018,Grays Harbor,WA,Truck,0,0,0,20765,20765,0.00
August 31 2018,Lincoln,WA,Passenger,5,7,12,7970,7982,0.15
August 31 2018,Lincoln,WA,Truck,0,0,0,4729,4729,0.00
May 31 2018,Fulton,GA,Passenger,1,1,2,87,89,2.25
May 31 2018,Garfield,WA,Passenger,1,1,2,1364,1366,0.15
August 31 2018,Santa Rosa,FL,Passenger,1,0,1,86,87,1.15
January 31 2018,Clallam,WA,Passenger,113,101,214,50289,50503,0.42
May 31 2018,Latah,ID,Passenger,0,1,1,75,76,1.32
August 31 2018,Marion,OR,Passenger,1,0,1,108,109,0.92
May 31 2018,Liberty,GA,Passenger,1,0,1,149,150,0.67
August 31 2018,Island,WA,Truck,0,0,0,21613,21613,0.00
August 31 2018,Skamania,WA,Truck,0,0,0,4134,4134,0.00
January 31 2018,Howard,MD,Passenger,0,1,1,97,98,1.02
August 31 2018,Jefferson,CO,Passenger,0,1,1,64,65,1.54
June 30 2018,Yakima,WA,Passenger,72,97,169,168246,168415,0.10
January 31 2018,Island,WA,Passenger,177,176,353,63258,63611,0.55
July 31 2018,Allegheny,PA,Passenger,1,0,1,72,73,1.37
August 31 2018,Nassau,NY,Passenger,2,0,2,32,34,5.88
May 31 2018,Manassas City,VA,Passenger,0,1,1,9,10,10.00
August 31 2018,Kent,MI,Passenger,0,1,1,25,26,3.85
August 31 2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
May 31 2018,Manatee,FL,Passenger,1,0,1,33,34,2.94
May 31 2018,Marion,IN,Passenger,1,0,1,120,121,0.83
August 31 2018,Klickitat,WA,Passenger,28,34,62,15642,15704,0.39
January 31 2018,Dakota,MN,Passenger,0,1,1,34,35,2.86
August 31 2018,Wahkiakum,WA,Truck,0,0,0,1745,1745,0.00
August 31 2018,Pacific,WA,Truck,0,0,0,7829,7829,0.00
August 31 2018,Whatcom,WA,Truck,2,0,2,43581,43583,0.00
May 31 2018,Multnomah,OR,Passenger,3,4,7,804,811,0.86
August 31 2018,Pend Oreille,WA,Passenger,6,5,11,9935,9946,0.11
August 31 2018,Pend Oreille,WA,Truck,0,0,0,5995,5995,0.00
May 31 2018,Island,WA,Truck,0,0,0,21479,21479,0.00
May 31 2018,Okaloosa,FL,Passenger,1,0,1,167,168,0.60
January 31 2018,Kittitas,WA,Passenger,40,27,67,29428,29495,0.23
January 31 2018,Duval,FL,Passenger,1,1,2,370,372,0.54
August 31 2018,Mason,WA,Passenger,113,99,212,47042,47254,0.45
May 31 2018,Okanogan,WA,Passenger,0,5,5,6428,6433,0.08
May 31 2018,Jackson,OK,Passenger,1,0,1,42,43,2.33
September 30 2018,Alameda,CA,Passenger,0,2,2,325,327,0.61
May 31 2018,Okanogan,WA,Truck,0,0,0,4349,4349,0.00
January 31 2018,Lane,OR,Passenger,0,1,1,200,201,0.50
May 31 2018,Orange,FL,Passenger,2,1,3,170,173,1.73
July 31 2018,Chelan,WA,Passenger,115,54,169,54849,55018,0.31
August 31 2018,Miami-Dade,FL,Passenger,0,1,1,109,110,0.91
May 31 2018,Ozaukee,WI,Passenger,0,1,1,3,4,25.00
August 31 2018,Riley,KS,Passenger,1,0,1,82,83,1.20
January 31 2018,Lewis,WA,Truck,0,0,0,26280,26280,0.00
July 31 2018,Clark,WA,Truck,0,0,0,81569,81569,0.00
August 31 2018,Montgomery,TX,Passenger,1,0,1,51,52,1.92
August 31 2018,Russell,AL,Passenger,1,0,1,48,49,2.04
January 31 2018,Lincoln,WA,Truck,0,0,0,4691,4691,0.00
July 31 2018,Clay,FL,Passenger,0,1,1,90,91,1.10
September 30 2018,Beaufort,SC,Passenger,1,0,1,34,35,2.86
January 31 2018,Ferry,WA,Truck,0,0,0,3764,3764,0.00
January 31 2018,Flathead,MT,Passenger,1,0,1,54,55,1.82
May 31 2018,Pierce,WA,Truck,0,0,0,141936,141936,0.00
May 31 2018,Pinal,AZ,Passenger,2,0,2,180,182,1.10
July 31 2018,Dekalb,GA,Passenger,1,0,1,76,77,1.30
August 31 2018,Skamania,WA,Passenger,16,10,26,8923,8949,0.29
January 31 2018,Maricopa,AZ,Passenger,2,0,2,1496,1498,0.13
September 30 2018,Camden,GA,Passenger,0,1,1,162,163,0.61
July 31 2018,Douglas,WA,Passenger,44,31,75,28317,28392,0.26
January 31 2018,Marion,OR,Passenger,1,0,1,126,127,0.79
August 31 2018,Pima,AZ,Passenger,0,1,1,389,390,0.26
July 31 2018,Douglas,WA,Truck,0,0,0,12330,12330,0.00
May 31 2018,Riverside,CA,Passenger,0,2,2,695,697,0.29
August 31 2018,Polk,FL,Passenger,1,0,1,64,65,1.54
July 31 2018,Dupage,IL,Passenger,1,0,1,59,60,1.67
August 31 2018,Prince William,VA,Passenger,0,4,4,256,260,1.54
May 31 2018,Los Angeles,CA,Passenger,8,4,12,1156,1168,1.03
July 31 2018,Fairfax,VA,Passenger,0,3,3,817,820,0.37
September 30 2018,Clark,NV,Passenger,1,1,2,693,695,0.29
May 31 2018,San Diego,CA,Passenger,6,3,9,2642,2651,0.34
August 31 2018,Wahkiakum,WA,Passenger,2,2,4,3006,3010,0.13
January 31 2018,Montgomery,PA,Passenger,1,0,1,28,29,3.45
